"Continent","Country","Total_Consumption","Total_production","Population"
"Asia","        Kyrgyzstan",1976.32661723636,1225.85502492047,6524191
"Asia","        Laos",1269.60602245946,1360.20881938404,7275556
"Europe","        Latvia",1487.58471990789,276.676805533956,1886202
"Asia","        Lebanon",2586.06133532282,85.2280672567177,6825442
"Africa","        Lesotho",101.369877453258,30.3767072687687,2142252
"Africa","        Liberia",168.75934457569,9.3375365586734,5057677
"Africa","        Libya",7488.17318788768,37290.0767994537,6871287
"Europe","        Lithuania",2811.61094377283,777.883592043992,2722291
"Europe","        Luxembourg",2009.58820152966,33.94411025131,625976
"Asia","        Macau",327.945160606284,2.9629476487156,686607
"Africa","        Madagascar",387.62378963737,64.9597614609524,27691019
"Africa","        Malawi",283.361272585357,153.890680077427,19129955
"Asia","        Malaysia",24567.0482953269,35734.6477139095,32365998
